Mobile_Name,Operating_System,Lable,Storage,Lable,Display,Lable,Camera,Lable
Nokia Lumia 1020,"Android 10, One UI 2",,"256GB/512GB storage, microSDXC",,"1.45"" 128x128 pixels",,,
Nokia C2 Tennen,"Android 9.0, up to Android 10, One UI 2",,"128GB/512GB/1TB storage, microSDXC",,"1.8"" 120x160 pixels",,,
Nokia N8,"Android 9.0, up to Android 10, One UI 2.0",,"256GB/512GB storage, no card slot",,"5.0"" 1080x1920 pixels",,,
Nokia 8110 4G,"Android 6.0.1, up to Android 9.0, One UI",,"256GB storage, no card slot",,"6.0"" 1080x1920 pixels",,,
Nokia 8 Sirocco,"Android 6.0, up to Android 8.0, TouchWiz UI",,"16GB/32GB/64GB storage, microSDXC",,  5 lines,,,
Nokia 2.1,"Android 9.0, One UI",,"256GB/128GB storage, microSDXC",,"4.0"" 360x640 pixels",,,
Nokia 1 Plus,"Android 5.1, up to 6.0.1",,"8GB storage, no card slot",,"2.36"" 320x240 pixels",,,
Nokia 5310 XpressMusic,"Android 8.1, up to Android 10, One UI 2.0",,,,"6.4"" 1080x2400 pixels",,,
Nokia 3310 (2017),"Android 8.0, up to Android 10, One UI 2.1",,,,"6.6"" 1080x2400 pixels",,,
Nokia 5.1,"Android 5.1, up to 7.1.1",,,,"6.5"" 720x1560 pixels",,,
Nokia 210,"Android 10, ColorOS 7.2",,,,"6.55"" 1080x2400 pixels",,,
Nokia 1,"Android 10, ColorOS 7.1",,,,"6.3"" 1080x2340 pixels",,,
Nokia 2,"Android 9.0, ColorOS 6.1",,,,"6.44"" 1080x2400 pixels",,,
Nokia 3.1 Plus,"Android 5.1, ColorOS 3",,,,"6.4"" 1080x2340 pixels",,,
Nokia 110 (2019),"Android 5.1, up to 6.0, ColorOS 3",,,,"6.57"" 1080x2400 pixels",,,
Nokia C2 Tava,"Android 8.1, ColorOS 5.1",,,,"6.1"" 720x1560 pixels",,,
Nokia Lumia 520,"Android 9.0, planned upgrade to 10",,,,"6.22"" 720x1520 pixels",,,
Nokia 3310 4G,"Android 8.1, up to Android 10, ColorOS 7.0",,,,"6.53"" 1080x2340 pixels",,,
Nokia N73,"Android 9.0, ColorOS 6",,,,"1.4"" 320x320 pixels",,,
Nokia 105,Android Wear OS - International,,,,"6.7"" 1080x2400 pixels",,,
Nokia 106 (2018),"Android 8.1, ColorOS 5",,,,"6.9"" 1440x3088 pixels",,,
Nokia Lumia 930,"Android 7.1.1, ColorOS 3.2",,,,"6.2"" 1440x3200 pixels",,,
Nokia Lumia 1520,"Android 5.1, ColorOS 2.1",,,,"6.4"" 720x1560 pixels",,,
Nokia 150,"Android 6, ColorOS 3",,,,"5.8"" 1440x2960 pixels",,,
Nokia 3310,"Android 9.0, up to Android 10, ColorOS 7.0",,,,"6.9"" 1440x3200 pixels",,,
Nokia E7,"Android 7.1, ColorOS 3.2",,,,"6.1"" 1440x3040 pixels",,,
Nokia E63,,,,,"6.8"" 1440x3040 pixels",,,
Realme 7 Pro,,,,,"6.4"" 1440x3040 pixels",,,
Realme Narzo 20 Pro,,,,,"6.7"" 1440x3200 pixels",,,
Realme C17,,,,,"7.6"" 1768x2208 pixels",,,
Realme 7,,,,,"5.7"" 720x1520 pixels",,,
Realme 6 Pro,,,,,"5.1"" 1440x2560 pixels",,,
Realme 7i,,,,,"6.4"" 1440x2960 pixels",,,
Realme Narzo 20,,,,,"10.4"" 1200x2000 pixels",,,
Realme 6,,,,,"6.2"" 1440x2960 pixels",,,
Realme C15,,,,,"12.4"" 1752x2800 pixels",,,
Realme X7 Pro,,,,,"6.3"" 1440x2960 pixels",,,
Realme 5i,,,,,"10.1"" 1200x1920 pixels",,,
Realme C11,,,,,"6.43"" 1080x2400 pixels",,,
Realme 6i,,,,,"6.7"" 1440x3168 pixels",,,
Realme Narzo 20A,,,,,"6.5"" 1080x2340 pixels",,,
Realme C3,,,,,"1.91"" 402x476 pixels",,,
Realme 5 Pro,,,,,"6.23"" 1080x2280 pixels",,,
Realme X2 Pro,,,,,"6.42"" 1080x2340 pixels",,,
Realme C12,,,,,"5.0"" 540x960 pixels",,,
Realme 5,,,,,"6.6"" 1080x2340 pixels",,,
Realme X3 SuperZoom,,,,,,,,
Realme X50 Pro 5G,,,,,,,,
Realme X7,,,,,,,,
Realme X3,,,,,,,,
Realme X2,,,,,,,,
Realme X50 5G,,,,,,,,
Realme XT,,,,,,,,
Realme C3 (3 cameras),,,,,,,,
Realme C2,,,,,,,,
Realme V5 5G,,,,,,,,
Realme 3 Pro,,,,,,,,
Realme Narzo,,,,,,,,
Realme Narzo 10,,,,,,,,
Realme 3,,,,,,,,
Realme V3,,,,,,,,
Realme 6i (India),,,,,,,,
Realme X,,,,,,,,
Realme 5s,,,,,,,,
Realme 6S,,,,,,,,
Realme X50 Pro Player,,,,,,,,
Realme Narzo 10A,,,,,,,,
Realme X50 5G (China),,,,,,,,
Realme 2 Pro,,,,,,,,
Realme C1,,,,,,,,
Realme X50m 5G,,,,,,,,
Realme 2,,,,,,,,
Realme C3i,,,,,,,,
Realme Watch,,,,,,,,
Realme 1,,,,,,,,
Realme 3i,,,,,,,,
Realme U1,,,,,,,,
Samsung Galaxy A72,,,,,,,,
Samsung Galaxy S20 FE 5G,,,,,,,,
Samsung Galaxy M51,,,,,,,,
Samsung Galaxy A51,,,,,,,,
Samsung Galaxy S20 FE,,,,,,,,
Samsung Galaxy A71,,,,,,,,
Samsung Galaxy A21s,,,,,,,,
Samsung Galaxy Note20 Ultra 5G,,,,,,,,
Samsung Galaxy M31,,,,,,,,
Samsung Galaxy A31,,,,,,,,
Samsung Galaxy S20,,,,,,,,
Samsung Galaxy A42 5G,,,,,,,,
Samsung Galaxy A11,,,,,,,,
Samsung Galaxy S8,,,,,,,,
Samsung Galaxy M31s,,,,,,,,
Samsung Galaxy S20 Ultra 5G,,,,,,,,
Samsung Galaxy S10,,,,,,,,
Samsung Galaxy Note10+,,,,,,,,
Samsung Galaxy M21,,,,,,,,
Samsung Galaxy S10+,,,,,,,,
Samsung Galaxy S20+,,,,,,,,
Samsung Galaxy Note10 Lite,,,,,,,,
Samsung Galaxy A50,,,,,,,,
Samsung Galaxy Z Fold2 5G,,,,,,,,
Samsung Galaxy M11,,,,,,,,
Samsung Galaxy A01,,,,,,,,
Samsung Galaxy J7 Prime,,,,,,,,
Samsung Galaxy S10 Lite,,,,,,,,
Samsung Galaxy Note20 Ultra,,,,,,,,
Samsung Galaxy S7,,,,,,,,
Samsung Galaxy Note20,,,,,,,,
Samsung Galaxy S7 edge,,,,,,,,
Samsung Galaxy A10s,,,,,,,,
Samsung Galaxy A20s,,,,,,,,
Samsung Galaxy A20,,,,,,,,
Samsung Galaxy J5,,,,,,,,
Samsung Galaxy Note9,,,,,,,,
Samsung Galaxy A70,,,,,,,,
Samsung Galaxy S9,,,,,,,,
Samsung Galaxy Tab A7 10.4 (2020),,,,,,,,
Samsung Galaxy J7,,,,,,,,
Samsung Galaxy S10e,,,,,,,,
Samsung Galaxy A30s,,,,,,,,
Samsung Galaxy S9+,,,,,,,,
Samsung Galaxy A21,,,,,,,,
Samsung Galaxy Tab S7+,,,,,,,,
Samsung Galaxy A51 5G UW,,,,,,,,
Samsung Galaxy Note8,,,,,,,,
Samsung Galaxy Tab A 10.1 (2019),,,,,,,,
Samsung Galaxy Note10,,,,,,,,
Oppo Reno4 Lite,,,,,,,,
Oppo Reno4 Pro,,,,,,,,
Oppo F17 Pro,,,,,,,,
